Row Labels,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,Average of E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME1_ADD,SPL_THEME2_ADD,SPL_THEME3_ADD,SPL_THEME4_ADD,SPL_THEMES_ADD,zcta,neighborhood,borough
10473,59375,21894,20876,15141,2352,23159,9450,8788,14355,9335,4096,57759,4728,11759,43,1350,9725,302,25.5,3.96,23159,15.92,14.8,24.18,15.72,6.9,97.28,7.96,19.8,0.07,2.27,16.38,0.51,0.9397,0.8702,0.0909,0.9564,0.2526,0.853,0.7693,0.9701,0.9882,0.9314,0.8912,0.2688,0.8952,0.8907,0.3447,2.8572,2.845,1.9196,3.2906,10.9124,10473,Southeast Bronx,Bronx
10455,44911,15834,15144,17565,2454,16551,10289,3951,13247,6777,3687,44397,8598,12382,0,1915,11049,1039,39.11,5.47,16551,22.91,8.8,29.5,15.09,8.21,98.86,19.14,27.57,0,4.26,24.6,2.31,0.9887,0.9686,0.0229,0.9936,0.0475,0.9838,0.7218,0.9857,0.9965,0.9843,0.9167,0,0.9735,0.9245,0.6856,2.9738,2.7388,1.9808,3.5003,11.1937,10455,Hunts Point and Mott Haven,Bronx
10454,38192,14049,13269,17084,1866,13919,9266,3199,11223,6438,3374,37296,6835,11183,0,1828,10298,984,44.73,4.89,13919,24.26,8.38,29.39,16.86,8.83,97.66,17.9,29.28,0,4.79,26.96,2.58,0.9936,0.9495,0.0132,0.996,0.0411,0.9809,0.8408,0.9916,0.9906,0.9818,0.9191,0,0.9799,0.9329,0.7149,2.9523,2.8544,1.9724,3.5468,11.3259,10454,Hunts Point and Mott Haven,Bronx
10472,68807,23396,21890,23425,3278,17220,15869,7665,18638,10002,4644,67012,13806,12479,42,3471,13630,776,34.04,4.76,17220,23.06,11.14,27.09,14.54,6.75,97.39,20.06,18.14,0.06,5.04,19.81,1.13,0.9715,0.9378,0.0264,0.9946,0.093,0.95,0.6738,0.9671,0.9892,0.9872,0.8863,0.2536,0.9833,0.9045,0.52,2.9303,2.6839,1.9764,3.5477,11.1383,10472,Southeast Bronx,Bronx
10451,45506,18681,17906,15997,1737,19563,8798,5668,11707,8117,3293,44246,7507,16629,0,1784,13093,447,35.15,3.82,19563,19.33,12.45,25.73,17.84,7.24,97.23,16.5,36.54,0,3.92,28.77,0.98,0.974,0.8535,0.0376,0.9755,0.1366,0.9182,0.8834,0.974,0.9872,0.9779,0.9319,0,0.9666,0.9387,0.4916,2.8406,2.9122,1.9651,3.3288,11.0467,10451,High Bridge and Morrisania,Bronx
10453,80200,28666,27416,32611,4050,13365,16416,6805,23065,11982,6876,79341,18387,24725,81,4412,20600,1553,40.66,5.05,13365,20.47,8.49,28.76,14.94,8.57,98.93,22.93,30.83,0.1,5.5,25.69,1.94,0.9906,0.9569,0.0102,0.9853,0.0416,0.974,0.7135,0.9902,0.998,0.9926,0.9221,0.2982,0.9882,0.9275,0.6523,2.943,2.7193,1.9906,3.7883,11.4412,10453,Central Bronx,Bronx
10460,58362,21216,20171,21553,3765,16852,13288,6466,15652,9567,4705,56986,8910,15139,17,2362,10761,1102,36.93,6.45,16852,22.77,11.08,26.82,16.39,8.06,97.64,15.27,25.94,0.03,4.05,18.44,1.89,0.9853,0.9828,0.0239,0.9931,0.0925,0.9461,0.8129,0.9828,0.9902,0.9701,0.9084,0.2051,0.9696,0.8981,0.6429,2.9851,2.8343,1.9603,3.6241,11.4038,10460,Central Bronx,Bronx
10452,77107,27469,26439,28447,3603,15036,16434,6236,22238,11020,6236,75638,17292,24996,10,4906,20399,873,36.89,4.67,15036,21.31,8.09,28.84,14.29,8.09,98.09,22.43,32.42,0.01,6.36,26.46,1.13,0.9848,0.9319,0.0176,0.9877,0.0396,0.9745,0.6552,0.9833,0.9916,0.9916,0.924,0.1851,0.9955,0.9304,0.521,2.922,2.6526,1.9832,3.556,11.1138,10452,High Bridge and Morrisania,Bronx
10456,94211,32400,30903,35884,5116,16278,20153,8709,27013,16107,7524,93140,16822,27055,32,4456,22875,2600,38.09,5.43,16278,21.39,9.24,28.67,17.1,7.99,98.86,17.86,28.72,0.03,4.73,24.28,2.76,0.9877,0.9676,0.0225,0.9887,0.0572,0.972,0.8516,0.9823,0.997,0.9809,0.9182,0.2144,0.9789,0.9226,0.7277,2.9665,2.8631,1.9779,3.7618,11.5693,10456,High Bridge and Morrisania,Bronx
10459,48131,17910,16519,16643,2039,15646,10251,4956,13086,6571,4113,47298,8189,12415,29,1633,11256,874,34.58,4.24,15646,21.3,10.3,27.19,13.65,8.55,98.27,17.01,25.79,0.06,3.39,23.39,1.82,0.9725,0.8956,0.0185,0.9872,0.0695,0.9524,0.6033,0.9897,0.9926,0.9789,0.9074,0.2546,0.9539,0.9191,0.6366,2.8738,2.6149,1.9715,3.6716,11.1318,10459,Hunts Point and Mott Haven,Bronx
