zcta,population,sdi_score,fpl_100_score,sing_parent_fam_score,black_score,dropout_score,no_car_score,rent_occup_score,crowding_score,nonemp_score,unemp_score,highneeds_score,hisp_score,foreignb_score,lingisol_score,percnt_ltfpl100,percnt_singlparntfly,percnt_black,percnt_dropout,percnt_hhnocar,percnt_rentoccup,percnt_crowding,percnt_nonemp,percnt_unemp,percnt_highneeds,percnt_hispanic,percnt_frgnborn,percnt_lingisol
1001,17438,33,22,32,21,37,59,43,59,34,34,87,43,55,40,7.41,13.75,1.11,8.51,6.90,30.27,2.67,6.49,6.48,43.58,6.41,9.96,1.53
1002,29780,65,94,45,49,12,81,85,36,57,57,92,43,72,62,32.86,16.11,4.49,4.38,11.13,53.46,1.51,8.44,5.97,44.77,6.44,16.86,3.49
1003,11241,65,98,1,55,69,1,100,1,97,97,99,34,56,1,38.60,0.00,5.96,15.96,0.00,100.00,0.00,17.68,16.80,50.89,4.79,10.10,0.00
1005,5201,23,12,41,15,12,62,15,72,53,53,6,7,12,1,5.28,15.56,0.71,4.29,7.28,18.98,3.81,8.12,7.36,35.34,1.15,1.65,0.00
1007,14838,25,30,40,15,32,59,23,10,27,27,10,15,28,35,9.17,15.29,0.70,7.64,6.84,22.52,0.49,5.89,5.67,36.21,2.08,3.91,1.28
1008,1171,4,5,14,1,11,15,1,1,43,43,5,3,33,1,3.84,10.19,0.00,4.24,2.57,5.35,0.00,7.20,7.41,34.84,0.34,4.87,0.00
1009,429,73,96,37,1,84,85,44,1,100,100,100,1,1,1,34.50,14.65,0.00,21.76,13.04,30.43,0.00,33.33,23.95,67.13,0.00,0.00,0.00
1010,3695,17,4,58,1,22,43,12,39,19,19,4,7,8,21,3.25,18.63,0.00,5.99,5.12,16.98,1.62,5.24,4.76,33.91,1.08,1.11,0.61
1011,1506,17,23,28,21,35,15,10,8,57,57,2,20,13,44,7.64,13.03,1.13,8.23,2.54,15.94,0.36,8.44,8.39,31.81,2.72,1.79,1.81
1012,539,15,39,30,1,9,1,7,1,77,77,1,10,4,1,10.95,13.50,0.00,3.85,0.00,13.47,0.00,10.79,10.27,29.87,1.48,0.56,0.00
1013,22394,84,63,94,34,78,88,87,38,82,82,90,77,55,76,16.98,32.89,2.22,18.95,14.53,55.84,1.58,11.74,10.86,44.16,24.16,9.97,6.21
1020,30952,56,34,64,38,58,71,58,47,61,61,59,64,53,67,9.88,20.07,2.78,12.91,8.62,36.27,1.96,8.81,6.71,40.78,13.78,9.29,4.31
1022,2840,43,79,77,72,14,21,16,1,96,96,80,45,24,1,22.29,23.54,12.78,4.60,3.18,19.58,0.00,16.73,7.95,42.57,6.90,3.35,0.00
1026,1036,10,13,35,37,5,35,16,1,34,34,26,11,13,35,5.61,14.29,2.70,2.81,4.38,19.26,0.00,6.49,6.34,38.42,1.64,1.74,1.31
1027,17787,32,28,43,28,17,45,66,15,46,46,35,43,38,36,8.56,15.85,1.68,5.23,5.36,40.29,0.70,7.40,7.25,39.11,6.42,5.87,1.34
1028,16017,12,13,26,53,18,49,9,16,31,31,79,22,38,50,5.61,12.64,5.26,5.48,5.75,15.10,0.73,6.27,6.26,42.50,2.86,5.89,2.25
1029,717,30,55,21,13,21,15,5,75,93,93,9,4,22,1,14.92,11.71,0.56,5.97,2.55,12.42,4.14,14.74,14.70,35.98,0.56,3.07,0.00
1030,11250,24,35,53,28,23,47,15,20,12,12,18,38,33,43,10.06,17.61,1.69,6.16,5.54,18.97,0.91,4.49,4.80,37.48,5.52,4.97,1.78
1031,1369,65,85,20,1,43,82,73,28,95,95,80,31,18,1,25.20,11.48,0.00,9.57,11.48,44.00,1.22,15.85,15.22,42.59,4.31,2.41,0.00
1032,611,2,6,1,1,18,3,3,1,9,9,71,7,31,1,3.93,1.55,0.00,5.43,1.08,9.35,0.00,4.24,3.53,41.73,1.15,4.58,0.00
1033,6304,12,7,18,1,25,35,8,72,6,6,43,37,17,1,4.18,11.22,0.00,6.48,4.39,14.55,3.84,3.67,3.47,39.72,5.33,2.25,0.00
1034,2190,15,35,25,6,18,12,7,19,45,45,5,13,16,1,10.03,12.46,0.18,5.51,2.24,13.54,0.87,7.37,7.59,34.61,1.87,2.19,0.00
1035,5324,14,19,15,19,10,67,34,12,1,1,93,32,49,39,6.85,10.59,0.96,3.89,8.04,26.79,0.57,1.54,1.50,44.91,4.36,8.08,1.53
1036,5179,10,11,30,5,17,25,2,10,46,46,73,8,24,24,5.18,13.41,0.12,5.32,3.55,7.93,0.47,7.41,6.61,41.90,1.24,3.38,0.73
1037,731,10,39,1,26,5,1,1,1,94,94,1,57,11,1,10.84,0.00,1.50,2.76,0.00,6.44,0.00,15.63,14.25,24.35,10.53,1.50,0.00
1038,2794,9,15,33,18,2,39,23,1,1,1,37,1,7,20,6.05,13.95,0.89,1.65,4.78,22.37,0.00,1.91,2.43,39.33,0.00,1.00,0.56
1039,1236,13,19,28,11,9,35,16,15,46,46,3,21,23,1,6.80,13.04,0.49,3.74,4.40,19.37,0.70,7.43,7.34,33.41,2.75,3.24,0.00
1040,40342,95,90,96,45,85,94,90,68,89,89,85,91,37,90,28.77,35.05,3.81,22.71,23.26,59.61,3.39,13.36,12.96,43.22,49.49,5.68,13.13
1050,2513,24,31,42,43,32,48,8,51,9,9,6,33,21,1,9.34,15.66,3.54,7.75,5.63,14.60,2.19,4.12,4.17,35.02,4.54,2.83,0.00
1053,1772,49,74,77,43,43,5,23,29,64,64,62,49,38,1,20.42,23.53,3.50,9.64,1.40,22.42,1.23,9.09,8.35,41.03,8.01,5.81,0.00
1054,1993,7,23,15,17,16,9,7,16,10,10,80,20,39,15,7.70,10.51,0.85,5.06,1.94,13.59,0.73,4.26,4.27,42.65,2.61,6.07,0.36
1056,21348,28,10,23,24,70,56,25,11,44,44,16,41,67,77,4.85,12.11,1.34,16.10,6.46,23.27,0.54,7.25,6.69,37.33,6.12,14.08,6.54
1057,8712,23,29,50,1,35,16,12,1,63,63,5,8,12,18,8.79,17.06,0.00,8.27,2.72,16.98,0.00,8.98,8.90,34.87,1.26,1.66,0.48
1060,15229,58,70,58,41,13,86,89,25,38,38,98,51,60,58,19.01,18.62,3.14,4.59,13.38,57.34,1.08,6.75,6.93,48.69,8.54,11.38,2.97
1062,11029,45,53,74,28,23,57,35,13,77,77,6,52,34,26,14.29,22.66,1.68,6.29,6.59,27.28,0.61,10.75,8.02,35.23,8.91,5.14,0.83
1063,572,1,1,1,43,1,1,1,1,34,34,100,63,76,1,0.00,0.00,3.50,0.00,0.00,0.00,0.00,6.43,8.19,96.50,13.11,19.23,0.00
1066,10,10,1,1,1,1,1,100,1,1,1,100,1,1,1,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1068,1803,11,14,35,5,27,13,3,1,44,44,3,12,17,1,5.71,14.29,0.11,6.87,2.40,10.03,0.00,7.29,6.91,32.89,1.77,2.33,0.00
1069,8976,40,16,58,16,46,74,32,42,65,65,17,6,17,1,6.27,18.57,0.75,10.23,9.20,26.26,1.77,9.15,8.83,37.37,0.98,2.23,0.00
1070,565,17,34,24,12,19,60,4,1,36,36,13,5,48,16,9.93,12.33,0.53,5.64,7.00,10.70,0.00,6.62,6.34,36.81,0.88,7.96,0.41
1071,1318,3,2,3,10,24,2,1,12,28,28,6,7,20,1,2.50,6.31,0.38,6.31,0.39,6.40,0.58,6.03,7.37,35.28,1.06,2.66,0.00
1072,1465,18,34,45,11,14,26,6,25,27,27,1,33,31,18,9.86,16.27,0.48,4.73,3.62,12.76,1.10,5.96,6.06,29.90,4.51,4.44,0.47
1073,6022,11,12,42,21,29,29,5,1,6,6,40,3,28,22,5.43,15.57,1.11,7.27,3.82,11.67,0.00,3.79,4.46,39.54,0.35,4.04,0.64
1074,247,43,1,100,1,65,1,96,1,1,1,92,1,1,1,0.00,57.63,0.00,14.62,0.00,71.08,0.00,0.00,0.00,44.53,0.00,0.00,0.00
1075,17781,32,34,37,46,32,66,36,24,39,39,99,36,40,16,9.93,14.61,3.95,7.68,7.76,27.59,1.07,6.84,6.82,48.96,5.02,6.32,0.39
1077,9640,15,12,29,1,43,39,11,5,20,20,11,3,31,1,5.37,13.15,0.00,9.71,4.77,16.77,0.22,5.33,5.26,36.41,0.36,4.61,0.00
1079,593,50,54,98,1,17,28,57,1,81,81,83,45,1,1,14.50,38.92,0.00,5.33,3.82,35.88,0.00,11.56,11.25,43.00,6.91,0.00,0.00
1080,2286,74,89,74,1,57,82,51,28,77,77,49,51,5,1,27.38,22.78,0.00,12.64,11.23,33.15,1.20,10.83,7.05,40.11,8.44,0.66,0.00
1081,1720,29,15,83,11,30,33,20,19,57,57,23,11,25,13,5.94,25.67,0.47,7.43,4.21,21.19,0.87,8.42,7.66,38.08,1.63,3.49,0.29
1082,10460,54,55,69,7,39,68,36,65,55,55,38,14,16,24,14.70,21.19,0.21,8.88,8.22,27.51,3.14,8.23,8.11,39.39,2.00,2.10,0.75
1083,2960,48,28,80,1,41,54,71,1,53,53,3,10,12,1,8.75,24.78,0.00,9.35,6.27,43.05,0.00,8.03,7.66,32.87,1.45,1.69,0.00
1084,155,13,17,82,1,3,32,1,1,8,8,89,19,69,1,6.45,25.53,0.00,2.17,4.17,0.00,0.00,4.11,3.66,43.87,2.58,15.48,0.00
1085,41509,44,31,58,30,37,66,46,39,65,65,66,49,54,45,9.35,18.58,1.87,8.61,7.76,31.42,1.63,9.22,8.53,41.35,7.93,9.57,1.88
1086,685,1,1,1,66,1,1,1,1,1,1,100,35,26,1,0.00,0.00,9.20,0.00,0.00,0.00,0.00,0.00,0.00,57.66,4.82,3.65,0.00
1088,493,40,55,19,45,46,93,52,1,1,1,85,62,1,1,14.81,11.34,3.85,10.18,20.00,33.45,0.00,0.00,0.00,43.20,12.78,0.00,0.00
1089,28600,62,39,71,43,52,75,64,57,75,75,65,56,67,70,10.94,21.85,3.58,11.52,9.35,39.03,2.53,10.59,10.15,41.22,9.99,14.41,4.84
1092,1291,62,81,89,6,47,18,63,1,50,50,1,1,15,1,22.77,29.08,0.15,10.42,2.86,38.93,0.00,7.79,7.68,26.96,0.00,2.01,0.00
1093,307,9,11,1,1,22,1,5,64,44,44,2,1,7,1,5.21,0.00,0.00,6.15,0.00,12.03,3.01,7.26,6.25,32.57,0.00,0.98,0.00
1094,336,55,11,52,1,49,80,92,60,67,67,99,12,1,1,5.06,17.39,0.00,10.82,10.81,62.70,2.70,9.40,8.87,49.70,1.79,0.00,0.00
1095,14514,8,6,18,40,21,35,4,24,19,19,21,23,39,13,4.07,11.16,3.11,5.98,4.41,10.58,1.05,5.22,5.18,37.85,3.05,6.05,0.26
